PS C:\Users\nithy\loadtest> loadtest -c 10 --rps 200 http://localhost:3001/project
[Sun Sep 01 2019 12:18:49 GMT+0530 (India Standard Time)] INFO Requests: 0, requests per second: 0, mean latency: 0 ms
[Sun Sep 01 2019 12:18:54 GMT+0530 (India Standard Time)] INFO Requests: 835, requests per second: 167, mean latency: 2057.2 ms
[Sun Sep 01 2019 12:18:59 GMT+0530 (India Standard Time)] INFO Requests: 1903, requests per second: 214, mean latency: 17.5 ms
[Sun Sep 01 2019 12:19:04 GMT+0530 (India Standard Time)] INFO Requests: 2903, requests per second: 200, mean latency: 3.1 ms
[Sun Sep 01 2019 12:19:09 GMT+0530 (India Standard Time)] INFO Requests: 3903, requests per second: 200, mean latency: 3.2 ms
[Sun Sep 01 2019 12:19:14 GMT+0530 (India Standard Time)] INFO Requests: 4903, requests per second: 200, mean latency: 3.1 ms
[Sun Sep 01 2019 12:19:19 GMT+0530 (India Standard Time)] INFO Requests: 5903, requests per second: 200, mean latency: 2.7 ms
[Sun Sep 01 2019 12:19:24 GMT+0530 (India Standard Time)] INFO Requests: 6903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:19:29 GMT+0530 (India Standard Time)] INFO Requests: 7903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:19:34 GMT+0530 (India Standard Time)] INFO Requests: 8903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:19:39 GMT+0530 (India Standard Time)] INFO Requests: 9903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:19:44 GMT+0530 (India Standard Time)] INFO Requests: 10903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:19:49 GMT+0530 (India Standard Time)] INFO Requests: 11903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:19:54 GMT+0530 (India Standard Time)] INFO Requests: 12903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:19:59 GMT+0530 (India Standard Time)] INFO Requests: 13903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:20:04 GMT+0530 (India Standard Time)] INFO Requests: 14903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:20:09 GMT+0530 (India Standard Time)] INFO Requests: 15903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:20:14 GMT+0530 (India Standard Time)] INFO Requests: 16903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:20:19 GMT+0530 (India Standard Time)] INFO Requests: 17903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:20:24 GMT+0530 (India Standard Time)] INFO Requests: 18903, requests per second: 200, mean latency: 2.7 ms
[Sun Sep 01 2019 12:20:29 GMT+0530 (India Standard Time)] INFO Requests: 19903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:20:34 GMT+0530 (India Standard Time)] INFO Requests: 20903, requests per second: 200, mean latency: 2.6 ms
[Sun Sep 01 2019 12:20:39 GMT+0530 (India Standard Time)] INFO Requests: 21903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:20:44 GMT+0530 (India Standard Time)] INFO Requests: 22903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:20:49 GMT+0530 (India Standard Time)] INFO Requests: 23903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:20:54 GMT+0530 (India Standard Time)] INFO Requests: 24903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:20:59 GMT+0530 (India Standard Time)] INFO Requests: 25903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:21:04 GMT+0530 (India Standard Time)] INFO Requests: 26903, requests per second: 200, mean latency: 2.8 ms
[Sun Sep 01 2019 12:21:09 GMT+0530 (India Standard Time)] INFO Requests: 27903, requests per second: 200, mean latency: 2.5 ms
[Sun Sep 01 2019 12:21:14 GMT+0530 (India Standard Time)] INFO Requests: 28903, requests per second: 200, mean latency: 2.5 ms
